FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201701,2,0,32933,670350,"D","01/02/2017 00:00:00",27,"F","Mobile/Trailer Home",201701
201701,2,0,32934,670350,"D","01/02/2017 00:00:00",51,"F","Mobile/Trailer Home",201701
201701,2,0,32935,670350,"D","01/02/2017 00:00:00",53,"F","Mobile/Trailer Home",201701
201701,2,0,32937,670353,"D","01/02/2017 00:00:00",73,"M","Mobile/Trailer Home",201701
201701,28,0,32954,670672,"D","01/28/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,2,0,32970,671787,"D","01/02/2017 00:00:00",70,"M","In Water",201701
201701,2,0,32979,672747,"D","01/02/2017 00:00:00",5,"M","In Water",201701
201701,2,0,32980,672747,"D","01/02/2017 00:00:00",26,"M","In Water",201701
201701,22,0,33053,673010,"D","01/22/2017 00:00:00",59,"M","Mobile/Trailer Home",201701
201701,22,0,33054,673010,"D","01/22/2017 00:00:00",59,"F","Mobile/Trailer Home",201701
201701,22,0,33055,673010,"D","01/22/2017 00:00:00",39,"M","Mobile/Trailer Home",201701
201701,22,0,33056,673010,"D","01/22/2017 00:00:00",77,"F","Permanent Home",201701
201701,22,0,33057,673010,"D","01/22/2017 00:00:00",82,"M","Permanent Home",201701
201701,22,0,32990,673054,"D","01/22/2017 00:00:00",,"M","Mobile/Trailer Home",201701
201701,22,0,32991,673054,"D","01/22/2017 00:00:00",,"F","Mobile/Trailer Home",201701
201701,22,0,32992,673083,"D","01/22/2017 00:00:00",18,"F","Mobile/Trailer Home",201701
201701,22,0,32993,673083,"D","01/22/2017 00:00:00",33,"F","Mobile/Trailer Home",201701
201701,22,0,32994,673083,"D","01/22/2017 00:00:00",62,"F","Mobile/Trailer Home",201701
201701,22,0,32995,673083,"D","01/22/2017 00:00:00",38,"F","Mobile/Trailer Home",201701
201701,22,0,32996,673083,"D","01/22/2017 00:00:00",41,"F","Mobile/Trailer Home",201701
201701,22,0,32997,673083,"D","01/22/2017 00:00:00",41,"F","Mobile/Trailer Home",201701
201701,22,0,32998,673083,"D","01/22/2017 00:00:00",36,"M","Mobile/Trailer Home",201701
201701,22,0,32999,673095,"D","01/22/2017 00:00:00",82,"M","Permanent Home",201701
201701,22,0,33000,673095,"D","01/22/2017 00:00:00",78,"F","Permanent Home",201701
201701,16,0,33002,673097,"I","01/16/2017 00:00:00",,"","Heavy Equipment/Construction",201701
201701,15,0,33008,673579,"D","01/15/2017 00:00:00",36,"M","Outside/Open Areas",201701
201701,5,0,33015,673994,"I","01/05/2017 00:00:00",42,"M","Vehicle/Towed Trailer",201701
201701,9,0,33112,674066,"D","01/09/2017 00:00:00",81,"F","Outside/Open Areas",201701
201701,9,0,33113,674066,"D","01/09/2017 00:00:00",,"M","Outside/Open Areas",201701
201701,22,0,33092,676370,"D","01/22/2017 00:00:00",5,"M","Vehicle/Towed Trailer",201701
201701,22,0,33093,676370,"D","01/22/2017 00:00:00",73,"M","Vehicle/Towed Trailer",201701
201701,21,0,33122,676496,"D","01/21/2017 00:00:00",58,"M","Mobile/Trailer Home",201701
201701,21,0,33125,676496,"D","01/21/2017 00:00:00",47,"M","Mobile/Trailer Home",201701
201701,21,0,33123,676496,"D","01/21/2017 00:00:00",20,"M","Permanent Home",201701
201701,21,0,33124,676496,"D","01/21/2017 00:00:00",72,"F","Permanent Home",201701
201701,9,0,33095,676674,"I","01/09/2017 00:00:00",24,"M","Vehicle/Towed Trailer",201701
201701,9,0,33075,676840,"D","01/09/2017 00:00:00",85,"M","Outside/Open Areas",201701
201701,9,0,33076,676952,"I","01/09/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201701
201701,1,0,33081,677250,"D","01/01/2017 00:00:00",68,"M","Other",201701
201701,2,0,33082,677250,"D","01/02/2017 00:00:00",51,"M","Other",201701
201701,7,0,33083,677250,"D","01/07/2017 00:00:00",52,"F","Other",201701
201701,10,0,33084,677250,"D","01/10/2017 00:00:00",29,"M","Other",201701
201701,3,0,33086,677272,"I","01/03/2017 00:00:00",8,"F","Permanent Home",201701
201701,5,0,33090,677714,"D","01/05/2017 00:00:00",48,"F","Permanent Home",201701
201701,21,0,33097,677813,"D","01/21/2017 00:00:00",65,"M","In Water",201701
201701,31,0,33106,678073,"I","01/31/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201701
201701,15,0,33114,678145,"D","01/15/2017 00:00:00",39,"M","In Water",201701
201701,8,0,33128,678690,"D","01/08/2017 00:00:00",65,"M","Outside/Open Areas",201701
