EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_NAME,BEGIN_DATE_TIME,END_DATE_TIME,TotalDamage,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
112129,668746,FLORIDA,12,Thunderstorm Wind,MARION,1/22/2017 15:30,1/22/2017 15:30,50,Trained Spotter,"An exceptionally rare high risk of severe storms was issued for the local forecast area with extremely strong shear including a 70 kt 850 mb jet combined with an anomalously deep mid level trough across the Gulf Coast region pumped Gulf of Mexico moisture and instability across the area head of a potent storm system. Two waves of severe storms moved across the forecast area, once during the pre-dawn and early morning hours across SE GA, then another squall line of discrete supercells and leading supercells across both SE GA and NE FL in the afternoon and evening. Three tornado touchdowns were confirmed in SE GA during this time period with 1 fatality in Columbia county Florida due to a tree falling on a mobile home. This was a very unusual strong storm system that brought all modes of severe weather to the Jacksonville Forecast area.",Trees were blown down near Old Jacksonville Road in Ocala. The cost of damage was unknown but estimated for the event to be included in Storm Data.
112129,668747,FLORIDA,12,Thunderstorm Wind,CLAY,1/22/2017 15:35,1/22/2017 15:35,1000,Broadcast Media,"An exceptionally rare high risk of severe storms was issued for the local forecast area with extremely strong shear including a 70 kt 850 mb jet combined with an anomalously deep mid level trough across the Gulf Coast region pumped Gulf of Mexico moisture and instability across the area head of a potent storm system. Two waves of severe storms moved across the forecast area, once during the pre-dawn and early morning hours across SE GA, then another squall line of discrete supercells and leading supercells across both SE GA and NE FL in the afternoon and evening. Three tornado touchdowns were confirmed in SE GA during this time period with 1 fatality in Columbia county Florida due to a tree falling on a mobile home. This was a very unusual strong storm system that brought all modes of severe weather to the Jacksonville Forecast area.",Trees were blown down near Keystone Heights. The cost of damage was estimated for inclusion of the event in Storm Data.
111557,665535,NEW YORK,36,Strong Wind,NORTHERN ST. LAWRENCE,1/10/2017 16:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous observed wind gusts in 45-50 mph range with isolated to scattered power outages die to downed limbs.
111557,665536,NEW YORK,36,Strong Wind,SOUTHWESTERN ST. LAWRENCE,1/10/2017 16:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous observed wind gusts in 45-50 mph range with isolated to scattered power outages die to downed limbs.
111558,665538,VERMONT,50,High Wind,GRAND ISLE,1/10/2017 16:00,1/11/2017 3:00,20000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 50 to 55 mph with a measured wind gust of 62 mph at a nearby reef in Lake Champlain. Scattered power outages due to downed tree limbs and small trees on utility lines.
111558,665546,VERMONT,50,Strong Wind,EASTERN ADDISON,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
111684,666246,MISSOURI,29,Ice Storm,GREENE,1/13/2017 6:00,1/14/2017 6:00,50000,Emergency Manager,A significant ice storm impacted the Missouri Ozarks with sporadic power outages and some tree damage.,"Up to a half an inch of ice accumulated on elevated objects and tree limbs across the northern portion of the county during the ice storm. There were up to 4,000 people without power across north Springfield due fallen tree limbs on power lines."
111558,665547,VERMONT,50,Strong Wind,EASTERN CHITTENDEN,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
111558,665549,VERMONT,50,Strong Wind,LAMOILLE,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
111558,665550,VERMONT,50,Strong Wind,WASHINGTON,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
111558,665551,VERMONT,50,Strong Wind,WESTERN ADDISON,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
111557,665532,NEW YORK,36,High Wind,NORTHERN FRANKLIN,1/10/2017 16:00,1/11/2017 2:00,20000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous reports of 40-50 mph measured wind gusts and one report of 62 mph by NY Mesonet network in Malone.  Scattered power outages due to strong winds.
111557,665531,NEW YORK,36,High Wind,EASTERN CLINTON,1/10/2017 16:00,1/11/2017 2:00,20000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous reports of 50-55 mph measured wind gusts just inland with estimated 60 mph at Cumberland Head along Lake Champlain. Scattered power outages due to strong winds.
111557,665534,NEW YORK,36,Strong Wind,EASTERN ESSEX,1/10/2017 16:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous observed wind gusts in 45-50 mph range with isolated to scattered power outages die to downed limbs.
111682,666229,FLORIDA,12,Thunderstorm Wind,CITRUS,1/7/2017 1:57,1/7/2017 1:57,1000,Emergency Manager,"A strong cold front moved south across the Florida Peninsula, producing a few thunderstorms with one reported damaging wind gust.",Citrus County Emergency Management reported that a tree fell across a road in Crystal River. The timing of the tree falling over was estimated by radar.
111558,665552,VERMONT,50,Strong Wind,ORLEANS,1/10/2017 18:00,1/11/2017 3:00,10000,Mesonet,"The combination of a strong High pressure system east of New England combined with an intensifying strong low pressure system moving across the northern Great Lakes, during the evening of January 10th, created a strong west-east pressure gradient with strong southerly winds of 25 to 35 mph sustained and wind gusts to 60 mph across the northern Champlain Valley. There were thousands of residents/customers without power at various times due to downed lines from fallen limbs or trees.",Numerous measured wind gusts of 40-45 mph with some isolated 50 mph gusts. Isolated to Scattered power outages due to downed tree limbs and small trees on utility lines.
112800,673994,CALIFORNIA,6,Dense Fog,KERN CTY MTNS,1/5/2017 13:15,1/5/2017 13:15,15000,Law Enforcement,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,California Highway Patrol reported multiple accidents due to fog at 1315 PST along eastbound State Route 58 and eastbound State Route 223 near Towerline Road in which one fatality was reported along with several injuries. The multi-vehicle accidents involved around 19 vehicles including at least one semi-truck.
112991,675240,TEXAS,48,Strong Wind,HARRIS,1/22/2017 10:21,1/22/2017 15:30,20000,Fire Department/Rescue,Strong northwest winds behind a cold frontal passage produced mainly power line damage and downed some trees. The most damage occurred in the Harris County area.,"There were more than 25 reports of power lines and power poles downed across the county. There were also a couple of trees that were snapped. One tree fell onto a home, and another tree fell onto a car. Some scaffolding and a fence were blown down too."
113022,675588,MISSISSIPPI,28,Flash Flood,FORREST,1/2/2017 12:23,1/2/2017 15:00,2000,Department of Highways,"As a warm front was draped across the region, an upper level disturbance moved across and brought heavy rain and some severe storms during the morning. The storm system developed further during the afternoon and a squall line formed ahead of an approaching cold front. This helped to bring tornadoes and additional severe weather to the region during the afternoon hours.",Flooding occurred on Highway 49 near Fruitland Park Road.
112816,674026,ALABAMA,1,Thunderstorm Wind,CLARKE,1/2/2017 12:15,1/2/2017 12:15,20000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Winds estimated at 70 mph damaged several homes in the Perry Chapel community.
112816,674027,ALABAMA,1,Lightning,MOBILE,1/2/2017 12:25,1/2/2017 12:25,10000,Fire Department/Rescue,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",A lightning strike caused a house fire on Cortex Drive.
112816,675446,ALABAMA,1,Thunderstorm Wind,BALDWIN,1/2/2017 14:47,1/2/2017 14:48,950000,NWS Storm Survey,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.","A severe thunderstorm moved across Gulf Shores and|produced a corridor of significant wind damage from near the|intersection of Highway 59 and Highway 182 north and east to just |east of Highway 59 and south of Fort Morgan road (Highway 180). |All damage surveyed was blown from a southwest to northeast direction,|indicative of straight line wind damage. The corridor of greatest damage |occurred around 300 to 350 yards on either side of Highway 59. Numerous|trees were uprooted and had significant large branches broken off. A few |homes were damaged by the fallen trees along West 12th and 13th Avenues |and a few homes suffered shingle damage. The Alabama Gulf Coast Zoo |experienced significant tree damage and damage to fencing and animal |enclosures. Fortunately, all of the animals survived. Roofing material|was blown off of a few commercial buildings near the zoo and also south |close to Highway 182. Outside of this main corridor of damage, sporadic|straight line wind damage was observed and reported across Gulf Shores,|Bon Secour, and Orange Beach. There was one minor injury when a sunroom |collapsed onto an elderly woman. She was quickly rescued and suffered|minor cuts and bruises."
112816,675454,ALABAMA,1,Flash Flood,CLARKE,1/2/2017 13:04,1/2/2017 17:00,750000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.","Significant flash flooding occurred in the Jackson, AL area due to 5 to 7 inches of rain falling over a very short period of  time. 5 1/2 inches were measured in just 90 minutes. Numerous homes and roads flooded, with a few water rescues becoming necessary. Numerous homes on Cherry Avenue were flooded. 3 mobile homes were flooded on Warren Street. The Fish House Restaurant was also flooded. Several roads suffered damage."
112816,675483,ALABAMA,1,Flash Flood,MONROE,1/2/2017 14:30,1/2/2017 18:00,25000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Flash flooding resulted in the closure of several roads in the city of Monroeville. Five homes also experienced flooding.
113028,675625,ALABAMA,1,Ice Storm,CLARKE,1/6/2017 12:00,1/6/2017 21:00,10000,Emergency Manager,"An upper level disturbance to the west of the north central Gulf Coast produced a large area of precipitation as a cold front was moving south through the area. Temperatures dropped to at or slightly below freezing in portions of far inland southwest Alabama, resulting in freezing rain and sleet.","Ice accrual of a quarter inch was reported across far northern Clarke County. The greatest accrual occurred on trees, power lines, and metal surfaces. Several trees were downed due to the icing, especially around the Thomasville area. There was also a minor accumulation of sleet with the storm, generally a trace to a tenth of an inch."
113029,675628,MISSISSIPPI,28,Ice Storm,WAYNE,1/6/2017 10:00,1/6/2017 20:00,10000,Emergency Manager,"An upper level disturbance to the west of the north central Gulf Coast produced a large area of precipitation as a cold front was moving south through the area. Temperatures dropped to at or slightly below freezing in portions of far inland southeast Mississippi, resulting in freezing rain and sleet.","Ice accrual up to a quarter inch was reported across northern Wayne County. The greatest accrual occurred on trees, power lines, and metal surfaces. Several trees were downed due to the icing."
112816,674024,ALABAMA,1,Thunderstorm Wind,CLARKE,1/2/2017 12:00,1/2/2017 12:02,15000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Winds estimated at 60 mph downed trees near Jackson. One tree fell on a house.
112816,674025,ALABAMA,1,Thunderstorm Wind,CLARKE,1/2/2017 12:00,1/2/2017 12:02,5000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Winds estimated at 70 mph blew out windows at the Subway in Jackson.
112815,675836,MISSISSIPPI,28,Thunderstorm Wind,PERRY,1/2/2017 15:26,1/2/2017 15:26,5000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds across inland southeast Mississippi.",Trees and power lines were downed on Memorial Church Road.
112816,675543,ALABAMA,1,Flash Flood,BALDWIN,1/2/2017 19:00,1/2/2017 22:00,600000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.","Significant flash flooding occurred, especially in the Foley area, due to 5 to 7 inches of rain falling the span of only a couple of hours. A water rescue had to be performed on Fernwood Circle due to the rapid rise of Sandy Creek. Numerous roads in the central and southern half of the county were flooded and closed, with several sustaining damage due to the flooding."
112816,675839,ALABAMA,1,Thunderstorm Wind,MOBILE,1/2/2017 16:42,1/2/2017 16:42,5000,Broadcast Media,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Numerous trees were blown down across West Mobile.
112816,675840,ALABAMA,1,Thunderstorm Wind,MONROE,1/2/2017 17:21,1/2/2017 17:21,5000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",Trees and power lines were blown down near Corner Fork Road and Highway 42.
112816,676132,ALABAMA,1,Lightning,MOBILE,1/2/2017 17:25,1/2/2017 17:25,10000,Fire Department/Rescue,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.",House fire on Cortez Drive due to a lightning strike.
113028,675626,ALABAMA,1,Ice Storm,CHOCTAW,1/6/2017 10:30,1/6/2017 20:00,10000,Emergency Manager,"An upper level disturbance to the west of the north central Gulf Coast produced a large area of precipitation as a cold front was moving south through the area. Temperatures dropped to at or slightly below freezing in portions of far inland southwest Alabama, resulting in freezing rain and sleet.","Ice accrual of a quarter inch was reported across northern and central Choctaw County. Ice accrual around a tenth of an inch occurred over the southern portion of the county.   The greatest accrual occurred on trees, power lines, and metal surfaces. A few trees were downed due to the icing in the northern and central portion of the county. There was also a minor accumulation of sleet with the storm, generally a trace to a tenth of an inch."
112816,675502,ALABAMA,1,Flash Flood,WASHINGTON,1/2/2017 13:05,1/2/2017 18:00,1200000,Emergency Manager,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds and flooding across southwest and south central Alabama.","Significant flash flooding occurred near the Leroy area of Washington County. The flash flooding was the result of over 6 inches of rain falling over just a couple of hours of time, with most of the rainfall occurring in just 90 minutes. Roads were washed out near Highway 43, including Lower Ferry Road, Sullivan Lane, Powell Cutoff Road, and Upper Ferry Roadway. The washouts also exposed and damaged a water main and natural gas line. Over a foot of water was reported on Luke River Road."
113022,675761,MISSISSIPPI,28,Thunderstorm Wind,LAWRENCE,1/2/2017 13:38,1/2/2017 14:05,20000,Emergency Manager,"As a warm front was draped across the region, an upper level disturbance moved across and brought heavy rain and some severe storms during the morning. The storm system developed further during the afternoon and a squall line formed ahead of an approaching cold front. This helped to bring tornadoes and additional severe weather to the region during the afternoon hours.",Trees and powerlines were blown down across the southern part of the county.
113022,675919,MISSISSIPPI,28,Thunderstorm Wind,MARION,1/2/2017 14:23,1/2/2017 14:23,12000,Law Enforcement,"As a warm front was draped across the region, an upper level disturbance moved across and brought heavy rain and some severe storms during the morning. The storm system developed further during the afternoon and a squall line formed ahead of an approaching cold front. This helped to bring tornadoes and additional severe weather to the region during the afternoon hours.",Trees were blown down on 10 Mile Creek Road including one on a home. A powerline was brought down as well.
113022,675958,MISSISSIPPI,28,Thunderstorm Wind,JONES,1/2/2017 14:59,1/2/2017 15:03,10000,Emergency Manager,"As a warm front was draped across the region, an upper level disturbance moved across and brought heavy rain and some severe storms during the morning. The storm system developed further during the afternoon and a squall line formed ahead of an approaching cold front. This helped to bring tornadoes and additional severe weather to the region during the afternoon hours.",Trees were blown down on Lake Como Road and Shady Grove Moss Road.
113031,675634,MISSISSIPPI,28,Tornado,PERRY,1/21/2017 4:05,1/21/2017 4:13,160000,NWS Storm Survey,"Multiple rounds of severe weather occurred across inland southwest and south central Alabama, inland southeast Mississippi, and the western Florida Panhandle from January 21st to January 22nd, 2017. The prolonged period of severe weather was the result of a longwave trough axis over the southern plains that was very slow to move east, allowing several strong shortwaves to move across the north central Gulf Coast in the southwest upper level flow. The first round of severe weather on the morning of January 21st resulted in 2 strong tornadoes over the WFO Mobile County Warning area along with straight line wind damage. Large hail was the predominate hazard with the second round of storms on the evening of January 21st. A combination of straight line winds and large hail impacted the region on the morning of January 22nd.","The tornado entered extreme NW Perry County, MS from|NE Forrest County 2 miles WNW of Runnelstown, MS and continued to|move NE at 45 to 50 MPH before lifting 5.5 miles NE of Runnelstown.|Two main areas along the path had significant damage, with EF-2|category winds between 111 to 125 mph. One was located on Pumping|Station Road 1.3 miles NW of Runnelstown, and the other 2.7 miles NE|of Runnelstown along Cole Drive. Significant tree damage and|sporadic power lines were downed along the track of the tornado. Damage estimates from property were around $105,000 with tree damage estimated at $55,000."
112815,674023,MISSISSIPPI,28,Thunderstorm Wind,GREENE,1/2/2017 10:47,1/2/2017 10:47,5000,Broadcast Media,"A surface low developed over the southern Plains and moved east into the Tennessee Valley, resulting in numerous thunderstorms across the area that produced damaging winds across inland southeast Mississippi.",A tree fell on a truck near the prison.
113248,677568,NEW YORK,36,High Wind,NORTHERN ERIE,1/4/2017 11:00,1/4/2017 14:00,40000,Broadcast Media,"Deep cold air building across the region brought strong, gusty winds to the eastern end of Lake Erie. Winds gusted to between 50 and 60 mph across parts of Erie, Genesee and Chautauqua counties. The strong winds blew down a portion of a concrete block building wall in East Pembroke. No one was in the building at the time. The strong winds downed trees and power lines. There were several structures damaged by falling trees, for example on Roma Avenue in Buffalo. Power outages were reported by New York State Electric and Gas and National Grid in all three counties.",Strong winds downed trees and power lines in portions of Erie county.
113248,677569,NEW YORK,36,High Wind,GENESEE,1/4/2017 11:00,1/4/2017 14:00,50000,Broadcast Media,"Deep cold air building across the region brought strong, gusty winds to the eastern end of Lake Erie. Winds gusted to between 50 and 60 mph across parts of Erie, Genesee and Chautauqua counties. The strong winds blew down a portion of a concrete block building wall in East Pembroke. No one was in the building at the time. The strong winds downed trees and power lines. There were several structures damaged by falling trees, for example on Roma Avenue in Buffalo. Power outages were reported by New York State Electric and Gas and National Grid in all three counties.",Strong winds downed trees and power lines in portions of Genesee county.
113248,677570,NEW YORK,36,High Wind,CHAUTAUQUA,1/4/2017 10:30,1/4/2017 14:00,40000,Utility Company,"Deep cold air building across the region brought strong, gusty winds to the eastern end of Lake Erie. Winds gusted to between 50 and 60 mph across parts of Erie, Genesee and Chautauqua counties. The strong winds blew down a portion of a concrete block building wall in East Pembroke. No one was in the building at the time. The strong winds downed trees and power lines. There were several structures damaged by falling trees, for example on Roma Avenue in Buffalo. Power outages were reported by New York State Electric and Gas and National Grid in all three counties.",Strong winds downed trees and power lines in portions of Chautauqua county.
